name_id,h3_index,HubNameHE
105,8a2db0cd660ffff,תחנת רכבת משה דיין
105,8a2db0cd6667fff,תחנת רכבת משה דיין
105,8a2db0cd66effff,תחנת רכבת משה דיין
105,8a2db0cd6657fff,תחנת רכבת משה דיין
106,8a2db0cd5237fff,תחנת רכבת חולון-וולפסון
107,8a2db0cca847fff,"מרכז דן, בני ברק"
107,8a2db0cc8497fff,"מרכז דן, בני ברק"
108,8a2db0cc9497fff,"הארד/ולנברג, תל אביב"
108,8a2db0cc949ffff,"הארד/ולנברג, תל אביב"
109,8a2db0cd1a27fff,תחנת רכבת צומת חולון
109,8a2db0cd1b07fff,תחנת רכבת צומת חולון
109,8a2db0cd1b2ffff,תחנת רכבת צומת חולון
110,8a2db0cd3317fff,"המלאכה/הרוקמים, חולון"
110,8a2db0cd3327fff,"המלאכה/הרוקמים, חולון"
110,8a2db0cd3307fff,"המלאכה/הרוקמים, חולון"
111,8a2db0515ca7fff,צומת בילו/בית חולים קפלן
111,8a2db0515cb7fff,צומת בילו/בית חולים קפלן
112,8a2db0565967fff,תחנת רכבת קרית אריה
112,8a2db0565977fff,תחנת רכבת קרית אריה
113,8a2db2b21907fff,תחנת רכבת ירושלים-החאן
114,8a2db0576b87fff,נמל התעופה בן גוריון
114,8a2db057616ffff,נמל התעופה בן גוריון
115,8a2db018276ffff,"ויצמן/טשרניחובסקי, כפר סבא"
115,8a2db0182777fff,"ויצמן/טשרניחובסקי, כפר סבא"
115,8a2db018272ffff,"ויצמן/טשרניחובסקי, כפר סבא"
116,8a2db0a0514ffff,מרכזית חוף הכרמל
117,8a2db0cdc967fff,תחנת רכבת תל אביב ההגנה
117,8a2db0cc3597fff,תחנת רכבת תל אביב ההגנה
117,8a2db0cdc977fff,תחנת רכבת תל אביב ההגנה
118,8a2db0ccb6d7fff,"גיסין/משה דיין, פתח תקווה"
118,8a2db0ccb6dffff,"גיסין/משה דיין, פתח תקווה"
119,8a2db050695ffff,תחנת רכבת רחובות
119,8a2db05044b7fff,תחנת רכבת רחובות
119,8a2db050696ffff,תחנת רכבת רחובות
119,8a2db0504597fff,תחנת רכבת רחובות
119,8a2db0506867fff,תחנת רכבת רחובות
119,8a2db0504587fff,תחנת רכבת רחובות
119,8a2db050458ffff,תחנת רכבת רחובות
119,8a2db0504437fff,תחנת רכבת רחובות
120,8a2db0cc0647fff,"המלך ג'ורג'/אלנבי, תל אביב"
121,8a2db0cd095ffff,"ניסנבאום/יוספטל, בת ים"
121,8a2db0cd0957fff,"ניסנבאום/יוספטל, בת ים"
122,8a2db01b0c27fff,"אבא אבן/נעמי שמר, הרצליה"
122,8a2db01b0c07fff,"אבא אבן/נעמי שמר, הרצליה"
122,8a2db01b0d1ffff,"אבא אבן/נעמי שמר, הרצליה"
123,8a2db0154b4ffff,תחנת רכבת חדרה-מערב
123,8a2db0154a67fff,תחנת רכבת חדרה-מערב
